2023-05-13 20:21:07 INFO  [c.e.s.controller.BookController] API: /api/admin/secure/delete/book, Response state: OK, Request time: 45ms
2023-05-13 20:21:13 INFO  [c.e.s.controller.BookController] API: /api/admin/secure/delete/book, Response state: OK, Request time: 48ms
2023-05-13 20:21:19 INFO  [c.e.s.controller.BookController] API: /api/admin/secure/delete/book, Response state: OK, Request time: 66ms
2023-05-13 20:21:21 INFO  [c.e.s.controller.BookController] API: /api/admin/secure/delete/book, Response state: OK, Request time: 55ms
2023-05-13 20:21:24 INFO  [c.e.s.controller.BookController] API: /api/admin/secure/delete/book, Response state: OK, Request time: 58ms
2023-05-13 20:21:26 INFO  [c.e.s.controller.BookController] API: /api/admin/secure/delete/book, Response state: OK, Request time: 39ms
2023-05-13 20:21:46 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans, Response state: OK, Request time: 4ms
2023-05-13 20:21:48 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans, Response state: OK, Request time: 4ms
2023-05-13 20:22:03 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans, Response state: OK, Request time: 5ms
2023-05-13 20:23:43 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans, Response state: OK, Request time: 3ms
2023-05-13 20:25:35 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans, Response state: OK, Request time: 5ms
2023-05-13 20:25:43 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans, Response state: OK, Request time: 3ms
2023-05-13 20:33:44 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans, Response state: OK, Request time: 67ms
2023-05-13 20:35:07 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans, Response state: OK, Request time: 21ms
2023-05-13 20:35:11 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans/count, Response state: OK, Request time: 20ms
2023-05-13 20:35:11 INFO  [c.e.s.controller.BookController] API: /api/books/secure/ischeckedout/byuser, Response state: OK, Request time: 31ms
2023-05-13 20:35:11 INFO  [c.e.s.controller.BookController] API: /api/reviews/secure/user/book, Response state: OK, Request time: 31ms
2023-05-13 20:35:14 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans, Response state: OK, Request time: 6ms
2023-05-13 20:35:17 INFO  [c.e.s.controller.BookController] API: /api/reviews/secure/user/book, Response state: OK, Request time: 12ms
2023-05-13 20:35:17 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans/count, Response state: OK, Request time: 11ms
2023-05-13 20:35:17 INFO  [c.e.s.controller.BookController] API: /api/books/secure/ischeckedout/byuser, Response state: OK, Request time: 9ms
2023-05-13 20:37:16 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans/count, Response state: OK, Request time: 3ms
2023-05-13 20:37:16 INFO  [c.e.s.controller.BookController] API: /api/books/secure/ischeckedout/byuser, Response state: OK, Request time: 3ms
2023-05-13 20:37:16 INFO  [c.e.s.controller.BookController] API: /api/reviews/secure/user/book, Response state: OK, Request time: 9ms
2023-05-13 20:37:27 INFO  [c.e.s.controller.BookController] API: /api/reviews/secure, Response state: OK, Request time: 251ms
2023-05-13 20:37:30 INFO  [c.e.s.controller.BookController] API: /api/books/secure/ischeckedout/byuser, Response state: OK, Request time: 3ms
2023-05-13 20:37:30 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans/count, Response state: OK, Request time: 3ms
2023-05-13 20:37:30 INFO  [c.e.s.controller.BookController] API: /api/reviews/secure/user/book, Response state: OK, Request time: 4ms
2023-05-13 20:37:48 INFO  [c.e.s.controller.BookController] API: /api/reviews/secure/user/book, Response state: OK, Request time: 6ms
2023-05-13 20:37:48 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans/count, Response state: OK, Request time: 7ms
2023-05-13 20:37:48 INFO  [c.e.s.controller.BookController] API: /api/books/secure/ischeckedout/byuser, Response state: OK, Request time: 7ms
2023-05-13 20:38:17 INFO  [c.e.s.controller.BookController] API: /api/reviews/secure, Response state: OK, Request time: 32ms
2023-05-13 20:38:26 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans/count, Response state: OK, Request time: 3ms
2023-05-13 20:38:26 INFO  [c.e.s.controller.BookController] API: /api/books/secure/ischeckedout/byuser, Response state: OK, Request time: 3ms
2023-05-13 20:38:26 INFO  [c.e.s.controller.BookController] API: /api/reviews/secure/user/book, Response state: OK, Request time: 3ms
